Cluster,Top 10 Words (TF-IDF)
1,"isolette, ksu, sensor, single, thermostat"
2,"isolette, qa, agree, aviationrequirementmodeling, temperature, connectioninheritance, dual, ksu, sensor, nameresolution"
3,"gca, singleton, aviationrequirementmodeling, aps, tank, aviation, isolette, vtv, pressurized, system"
4,"smartparking, temperature, aps, aviationrequirementmodeling, aviation, architecture, communication, agree, sensor, isolette"
5,"tcas, aviationrequirementmodeling, aviation, singleton, system, single, block, refuel, geofence, ev"
6,"dronecontrol, environment, hybridsynchaadl, drone, master, rendezvous, thesis, dronesystem, fourdronessystem, refdrone"
7,"temperature, ctrl, agree, aviationrequirementmodeling, adventium, csci, gumbo, lab, plugin, controller"
8,"aaspe, security, main, incorrect, r5, cwe, correct, r4, requirement, timing"
9,"home, air, ex, smart, system, arch, client, ocarina, maincontrolrouter, remoteserver"
10,"qa, issue, aaspe, main, security, test, r1, receiver, correct, arch"
11,"view, fullspeed, iplprojects, task, tasklibrary, map, wempty, char, rot, simple"
12,"hi, polyorb, consumer, producer, scenario, ocarina"
13,"device, test, missing, property, system, translator, abstract, noninpulseox, simplecapnograph, simplepca"
14,"hi, polyorb, scenario, type"
15,"test, hi, polyorb, scenario, flight, management, issue, qa, subcompo, ptest"
16,"cmpare, model, system, bless, integration, collection, toll, payment, mecelearningsystem, positioncontrol"
17,"toll, rap, collection, electronictollcollection, model, scenario, isolette, ocarina, bless, communication"
18,"modelagemaadl, exemplo, resourcebudgets, sc, dc, tier, qa, mysystem, singletier, sistema"
19,"resourcebudgets, modelagemaadl, sc, tier, dc, example, model, platform, dualtier, singletier"
20,"aaspe, main, security, issue, qa, r0, r6, ocarina, test, correct"
21,"test, qa, system, impl, package, refined, dual, flowlatencysampleddata, hardwareplatform, dist"
22,"aaspe, security, main, integration, r7, cwe, success, fail, failure, float"
23,"issue, qa, errormodelv, fgs, app, deformation, drone, inspect, network, structural"
24,"ocarina, qa, issue, s2, test, basic, top, connectiontiming, deployment, kaadl"
25,"hi, polyorb, rma, scenario"
26,"aps, architecture, communication, rcc, ism, networkandsystemmanagement, asc, qa, clientserver, layer"
27,"aps, architecture, communication, navigationsystem, rcc, apscommunication, withredundancy, id, controlcomputer, backup"
28,"hi, ping, polyorb, scenario, 10, 11, 12, 13"
29,"test, issue, qa, subsystem, ocarina, spg, demo, designer"
30,"ocarina, system, t9"
31,"map, iplprojects, mapa, mapb"
32,"hi, polyorb, scenario, d3, system, ocarina, aps, import, monitor, duplicate"
33,"hi, polyorb, scenario, sunseeker"
34,"isolette, ksu, sensor, dual, single"
35,"rma, rmaaadl, ocarina, erc, hi, polyorb, test, real, cpp, local"
36,"ping, aaspe, sel, ocarina, pong, hello, test, qa, root, hi"
37,"integration, model, faceaadl, merged, integrationmodel, im, multiplemergedunits, selectedintegrationmodel, connectedclient, connectedserver"
38,"qa, issue, top, main, gps, test, arch, ardupilot, perseus, smarthome"
39,"system, paparazzo, quadrirotorv, device, emaxxv, arm, bar, foo, model, machine"
40,"integration, main, errormodelv, car, dhsystem, device, driving, self, radar, redundant"
41,"example, bless, model, system, iomtwin, subsystem, mc, missioncomputer, groundstation, imp"
42,"pulseox, system, forwarding, flowlatencysampleddata, topsystem, application, bless, model, imp, allperiodicsampled"
43,"isolette, vehicle, ipca, operation, example, sensor, interface, ocarina, temperature, 16"
44,"dca, resourcebudgets, tier, adiru, modelagemaadl, ocarina, example, smartparking, minepump, robot"
