Model,Component,Feature,ConnectionInstance
ucubesat rta controller rta controller ,dm sub  unv sub  ver sub,pre psi  pre psi  pre psi  pre psi  psi dot comm   psi dot comm   psi dot comm   psi dot comm   pre psi in  pre psi in  pre psi in  pre psi in  psi dot comm  verified in  psi dot comm  verified in  psi dot comm  verified in  psi dot comm  verified in  psi dot comm  unverified in  psi dot comm  unverified in  psi dot comm  unverified in  psi dot comm  unverified in  psi dot comm  dm  psi dot comm  dm  psi dot comm  dm  psi dot comm  dm  pre psi  pre psi  pre psi  pre psi  psi dot comm   psi dot comm   psi dot comm   psi dot comm   pre psi  pre psi  pre psi  pre psi  psi dot comm   psi dot comm   psi dot comm   psi dot comm ,pre psi  dm subpre psi in  pre psi  ver subpre psi  pre psi  unv subpre psi  pre psi  dm subpre psi in  pre psi  ver subpre psi  pre psi  unv subpre psi  pre psi  dm subpre psi in  pre psi  ver subpre psi  pre psi  unv subpre psi  pre psi  dm subpre psi in  pre psi  ver subpre psi  pre psi  unv subpre psi  dm subpsi dot comm  dm  psi dot comm   dm subpsi dot comm  dm  psi dot comm   dm subpsi dot comm  dm  psi dot comm   dm subpsi dot comm  dm  psi dot comm   unv subpsi dot comm   dm subpsi dot comm  unverified in  unv subpsi dot comm   dm subpsi dot comm  unverified in  unv subpsi dot comm   dm subpsi dot comm  unverified in  unv subpsi dot comm   dm subpsi dot comm  unverified in  ver subpsi dot comm   dm subpsi dot comm  verified in  ver subpsi dot comm   dm subpsi dot comm  verified in  ver subpsi dot comm   dm subpsi dot comm  verified in  ver subpsi dot comm   dm subpsi dot comm  verified in
 isolette ksu isolette isolette single sensor ,heat source  temperature sensor  thermostat,heat loss  air temp  on heater  on alarm,
 isolette ksu isolette isolette single sensor ,heat source  temperature sensor  thermostat,heat loss  air temp  on heater  on alarm,
 isolette ksu isolette operator interface ,temp display  status display  desired set  alarm set,display temp  reg status  mon status  lower desired temp  upper desired temp  lower alarm temp  upper alarm temp  air temp  reg status  mon status  lower desired temp  upper desired temp  lower alarm temp  upper alarm temp,display temp  temp displayair temp  reg status  status displayreg status  mon status  status displaymon status  desired setlower desired temp  lower desired temp  desired setupper desired temp  upper desired temp  alarm setlower alarm temp  lower alarm temp  alarm setupper alarm temp  upper alarm temp
 isolette ksu isolette operator interface ,temp display  status display  desired set  alarm set,display temp  reg status  mon status  lower desired temp  upper desired temp  lower alarm temp  upper alarm temp  air temp  reg status  mon status  lower desired temp  upper desired temp  lower alarm temp  upper alarm temp,display temp  temp displayair temp  reg status  status displayreg status  mon status  status displaymon status  desired setlower desired temp  lower desired temp  desired setupper desired temp  upper desired temp  alarm setlower alarm temp  lower alarm temp  alarm setupper alarm temp  upper alarm temp
 isolette ksu isolette thermostat single sensor ,regulate temp  manage heat source  monitor temp  manage alarm,air temp  on heater  on alarm  current temp  on heater  current temp  on heater  current temp  on alarm  current temp  on alarm,air temp  regulate tempmanage heat sourcecurrent temp  air temp  monitor tempmanage alarmcurrent temp  regulate tempmanage heat sourceon heater  on heater  monitor tempmanage alarmon alarm  on alarm
architecture of smart parking informationserviceprovider isp ,sub hw bus  sub tic  collection,bus access,sub hw bus  sub ticbus access
architecture of smart parking rse rseowner ,rse electricchargesupportprovider  rse workzonesafetyprovider  rse travelinformationcommunicationprovider  rse trafficmeteringprovider  rse speedmanagementprovider,rse ecsp data in  rse ecsp data out  rse wsp data in  rse wsp data out  rse ticp data in  rse ticp data out  rse tmp data in  rse tmp data out  rse smp data in  rse smp data out,
architecture of smart parking smartparkingsystem tispsys ,sub driver  sub hardwarecomm  sub vehicleobe  sub roadsideobe  sub parkingmanager  sub rse electricchargesupportprovider  sub rse workzonesafetyprovider  sub rse travelinformationcommunicationprovider  sub rse trafficmeteringprovider  sub rse speedmanagementprovider  sub tic  collection,signal in  signal in  signal in  driverinfo input  driverout  signal out  parking data received  signal out  parking data received  signal out  signal in  rse ecsp data in  rse ecsp data out  rse wsp data in  rse wsp data out  rse ticp data in  rse ticp data out  rse tmp data in  rse tmp data out  rse smp data in  rse smp data out  bus access,signal in  sub rse electricchargesupportproviderrse ecsp data in  signal in  sub rse travelinformationcommunicationproviderrse ticp data in  signal in  sub parkingmanagersignal in  sub hardwarecomm  sub ticbus access  sub parkingmanagersignal out  sub driverdriverinfo input  sub rse electricchargesupportproviderrse ecsp data out  sub roadsideobeparking data received  sub rse travelinformationcommunicationproviderrse ticp data out  sub vehicleobeparking data received
bottle filling bottlefilling bottlefillingsystem ,operator interface  main bus  water pipe  filter  quality sensor  filling valve  bottle sensor  bottle conveyor  main ram  control system  water input thread  filling thread  conveyor thread  control thread  operator input thread  main processor  ram,control commands  water flow  bus access  filter needs changing  bus access  water quality  bus access  valve operate  bus access  bottle in place  bottle full  bus access  set conveyor speed  conveyor speed  start stop conveyor  bus access  bus access  control commands  water flow  water quality  set conveyor speed  current conveyor speed  change filter in  valve operate  bottle in place  bottle full  conveyor on  water flow in  quality in  water info out  filter in  water info in  valve out  bottle in place in  bottle full in  set conveyor speed out  current conveyor speed in  conveyor on out  control commands in  valve in  valve out  conveyor in  conveyor out  control commands in  control commands out  bus access  bus access,water input threadwater info out  filling threadwater info in  filling threadvalve out  control threadvalve in  conveyor threadconveyor on out  control threadconveyor in  operator input threadcontrol commands out  control threadcontrol commands in  operator interfacecontrol commands  control systemoperator input threadcontrol commands in  main bus  water pipebus access  main bus  filterbus access  main bus  quality sensorbus access  main bus  filling valvebus access  main bus  bottle sensorbus access  main bus  bottle conveyorbus access  main bus  main processorbus access  main bus  main rambus access  water pipewater flow  control systemwater input threadwater flow in  filterfilter needs changing  control systemwater input threadfilter in  quality sensorwater quality  control systemwater input threadquality in  bottle sensorbottle in place  control systemfilling threadbottle in place in  bottle sensorbottle full  control systemfilling threadbottle full in  bottle conveyorconveyor speed  control systemconveyor threadcurrent conveyor speed in  main rambus access  main bus  control systemconveyor threadset conveyor speed out  bottle conveyorset conveyor speed  control systemcontrol threadvalve out  filling valvevalve operate  control systemcontrol threadconveyor out  bottle conveyorstart stop conveyor
